starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:03:30 2024	1712707410	0	15	15	2
Wed Apr 10 00:03:30 2024	1712707410	2	24	25	11
Wed Apr 10 00:03:30 2024	1712707410	2	24	26	10
Wed Apr 10 00:03:30 2024	1712707410	2	24	26	12
Wed Apr 10 00:03:30 2024	1712707410	2	26	27	12
Wed Apr 10 00:03:30 2024	1712707410	2	26	28	6
Wed Apr 10 00:03:30 2024	1712707410	2	27	28	14
Wed Apr 10 00:03:30 2024	1712707410	2	30	31	17
Wed Apr 10 00:03:30 2024	1712707410	2	30	32	20
Wed Apr 10 00:03:30 2024	1712707410	2	32	34	20
Wed Apr 10 00:03:30 2024	1712707410	2	34	36	22
Wed Apr 10 00:03:30 2024	1712707410	2	34	36	20
Wed Apr 10 00:03:30 2024	1712707410	2	38	39	26
Wed Apr 10 00:03:30 2024	1712707410	2	39	41	27
Wed Apr 10 00:03:30 2024	1712707410	2	40	42	29
Wed Apr 10 00:03:30 2024	1712707410	2	43	45	32
Wed Apr 10 00:03:30 2024	1712707410	2	43	45	30
Wed Apr 10 00:03:30 2024	1712707410	2	43	45	30
Wed Apr 10 00:03:30 2024	1712707410	2	46	47	32
Wed Apr 10 00:03:30 2024	1712707410	2	46	48	34
Wed Apr 10 00:03:30 2024	1712707410	2	46	48	33
Wed Apr 10 00:03:30 2024	1712707410	2	48	49	36
Wed Apr 10 00:03:30 2024	1712707410	2	49	50	37
Wed Apr 10 00:03:30 2024	1712707410	2	51	52	40
Wed Apr 10 00:03:30 2024	1712707410	2	51	53	39
Wed Apr 10 00:03:30 2024	1712707410	2	56	57	42
Wed Apr 10 00:03:30 2024	1712707410	1	57	59	46
Wed Apr 10 00:03:30 2024	1712707410	1	59	61	46
Wed Apr 10 00:03:30 2024	1712707410	1	61	62	50
Wed Apr 10 00:03:30 2024	1712707410	1	64	65	50
Wed Apr 10 00:03:30 2024	1712707410	1	64	66	50
Wed Apr 10 00:03:30 2024	1712707410	1	66	68	51
Wed Apr 10 00:03:30 2024	1712707410	1	68	69	54
Wed Apr 10 00:03:30 2024	1712707410	1	68	70	57
Wed Apr 10 00:03:30 2024	1712707410	1	71	73	56
Wed Apr 10 00:03:30 2024	1712707410	1	72	74	59
Wed Apr 10 00:03:30 2024	1712707410	1	73	74	61
Wed Apr 10 00:03:30 2024	1712707410	1	74	76	64
Wed Apr 10 00:03:30 2024	1712707410	1	76	77	64
Wed Apr 10 00:03:30 2024	1712707410	1	80	81	66
Wed Apr 10 00:03:30 2024	1712707410	1	80	81	65
Wed Apr 10 00:03:30 2024	1712707410	1	81	82	68
Wed Apr 10 00:03:30 2024	1712707410	1	81	83	68
Wed Apr 10 00:03:30 2024	1712707410	1	84	85	71
Wed Apr 10 00:03:30 2024	1712707410	1	86	87	73
Wed Apr 10 00:03:30 2024	1712707410	1	86	87	74
Wed Apr 10 00:03:30 2024	1712707410	1	90	91	76
Wed Apr 10 00:03:30 2024	1712707410	1	92	93	80
Wed Apr 10 00:03:30 2024	1712707410	1	93	95	83
Wed Apr 10 00:03:30 2024	1712707410	1	93	95	82
Wed Apr 10 00:03:30 2024	1712707410	1	95	96	84
Wed Apr 10 00:03:30 2024	1712707410	1	98	100	86
Wed Apr 10 00:03:30 2024	1712707410	1	100	101	89
Wed Apr 10 00:03:30 2024	1712707410	1	100	101	87
Wed Apr 10 00:03:30 2024	1712707410	1	100	102	89
Wed Apr 10 00:03:30 2024	1712707410	1	101	102	89
Wed Apr 10 00:03:30 2024	1712707410	1	102	103	89
Wed Apr 10 00:03:30 2024	1712707410	1	103	104	91
Wed Apr 10 00:03:30 2024	1712707410	1	103	105	92
Wed Apr 10 00:03:30 2024	1712707410	1	105	107	95
Wed Apr 10 00:03:30 2024	1712707410	1	107	108	93
Wed Apr 10 00:03:30 2024	1712707410	1	112	113	98
Wed Apr 10 00:03:30 2024	1712707410	1	112	113	99
