starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:21:47 2024	1712708507	0	20	21	9
Wed Apr 10 00:21:47 2024	1712708507	6	33	38	16
Wed Apr 10 00:21:47 2024	1712708507	5	37	42	6
Wed Apr 10 00:21:47 2024	1712708507	5	41	46	25
Wed Apr 10 00:21:47 2024	1712708507	5	42	47	28
Wed Apr 10 00:21:47 2024	1712708507	5	42	48	29
Wed Apr 10 00:21:47 2024	1712708507	5	46	51	32
Wed Apr 10 00:21:47 2024	1712708507	5	47	52	34
Wed Apr 10 00:21:47 2024	1712708507	5	47	52	31
Wed Apr 10 00:21:47 2024	1712708507	5	48	53	37
Wed Apr 10 00:21:47 2024	1712708507	5	50	56	37
Wed Apr 10 00:21:47 2024	1712708507	5	51	56	39
Wed Apr 10 00:21:47 2024	1712708507	5	55	60	41
Wed Apr 10 00:21:47 2024	1712708507	5	55	60	42
Wed Apr 10 00:21:47 2024	1712708507	5	55	60	42
Wed Apr 10 00:21:47 2024	1712708507	5	57	62	46
Wed Apr 10 00:21:47 2024	1712708507	5	60	65	47
Wed Apr 10 00:21:47 2024	1712708507	5	60	65	48
Wed Apr 10 00:21:47 2024	1712708507	5	60	65	49
Wed Apr 10 00:21:47 2024	1712708507	5	61	66	48
Wed Apr 10 00:21:47 2024	1712708507	5	62	67	49
Wed Apr 10 00:21:47 2024	1712708507	5	63	68	51
Wed Apr 10 00:21:47 2024	1712708507	5	63	68	51
Wed Apr 10 00:21:47 2024	1712708507	5	63	68	51
Wed Apr 10 00:21:47 2024	1712708507	5	65	70	51
Wed Apr 10 00:21:47 2024	1712708507	5	65	70	53
Wed Apr 10 00:21:47 2024	1712708507	5	65	70	52
Wed Apr 10 00:21:47 2024	1712708507	5	68	73	55
Wed Apr 10 00:21:47 2024	1712708507	5	68	73	56
Wed Apr 10 00:21:47 2024	1712708507	5	69	73	57
Wed Apr 10 00:21:47 2024	1712708507	5	73	77	59
Wed Apr 10 00:21:47 2024	1712708507	5	73	78	58
Wed Apr 10 00:21:47 2024	1712708507	5	73	78	61
Wed Apr 10 00:21:47 2024	1712708507	4	75	79	63
Wed Apr 10 00:21:47 2024	1712708507	4	75	80	64
Wed Apr 10 00:21:47 2024	1712708507	4	80	85	65
Wed Apr 10 00:21:47 2024	1712708507	4	81	85	69
Wed Apr 10 00:21:47 2024	1712708507	4	82	86	67
Wed Apr 10 00:21:47 2024	1712708507	4	84	88	69
Wed Apr 10 00:21:47 2024	1712708507	4	85	90	75
Wed Apr 10 00:21:47 2024	1712708507	4	86	90	73
Wed Apr 10 00:21:47 2024	1712708507	4	87	91	73
Wed Apr 10 00:21:47 2024	1712708507	4	90	94	76
Wed Apr 10 00:21:47 2024	1712708507	4	91	95	78
Wed Apr 10 00:21:47 2024	1712708507	4	93	97	80
Wed Apr 10 00:21:47 2024	1712708507	4	95	99	81
Wed Apr 10 00:21:47 2024	1712708507	4	95	99	83
Wed Apr 10 00:21:47 2024	1712708507	4	98	102	85
Wed Apr 10 00:21:47 2024	1712708507	4	98	102	84
Wed Apr 10 00:21:47 2024	1712708507	4	100	104	88
Wed Apr 10 00:21:47 2024	1712708507	4	101	105	87
Wed Apr 10 00:21:47 2024	1712708507	4	103	106	90
Wed Apr 10 00:21:47 2024	1712708507	4	103	107	91
Wed Apr 10 00:21:47 2024	1712708507	4	105	108	93
Wed Apr 10 00:21:47 2024	1712708507	4	105	109	91
Wed Apr 10 00:21:47 2024	1712708507	4	106	110	95
Wed Apr 10 00:21:47 2024	1712708507	4	108	111	93
Wed Apr 10 00:21:47 2024	1712708507	4	108	112	96
Wed Apr 10 00:21:47 2024	1712708507	4	110	113	98
Wed Apr 10 00:21:47 2024	1712708507	4	111	115	100
Wed Apr 10 00:21:47 2024	1712708507	4	114	117	100
Wed Apr 10 00:21:47 2024	1712708507	4	114	118	101
Wed Apr 10 00:21:47 2024	1712708507	3	114	118	103
Wed Apr 10 00:21:47 2024	1712708507	3	116	120	103
Wed Apr 10 00:21:47 2024	1712708507	3	118	121	106
Wed Apr 10 00:21:47 2024	1712708507	3	118	122	107
Wed Apr 10 00:21:47 2024	1712708507	3	121	124	111
Wed Apr 10 00:21:47 2024	1712708507	3	121	125	109
Wed Apr 10 00:21:47 2024	1712708507	3	121	125	109
Wed Apr 10 00:21:47 2024	1712708507	0	127	127	116
Wed Apr 10 00:21:47 2024	1712708507	3	125	128	111
Wed Apr 10 00:21:47 2024	1712708507	3	125	128	114
Wed Apr 10 00:21:47 2024	1712708507	0	128	128	115
Wed Apr 10 00:21:47 2024	1712708507	0	129	129	117
Wed Apr 10 00:21:47 2024	1712708507	0	130	130	117
Wed Apr 10 00:21:47 2024	1712708507	0	130	130	117
Wed Apr 10 00:21:47 2024	1712708507	0	130	130	118
Wed Apr 10 00:21:47 2024	1712708507	2	128	131	116
Wed Apr 10 00:21:47 2024	1712708507	0	131	131	118
Wed Apr 10 00:21:47 2024	1712708507	2	128	131	116
Wed Apr 10 00:21:47 2024	1712708507	0	131	131	118
Wed Apr 10 00:21:47 2024	1712708507	0	131	131	119
Wed Apr 10 00:21:47 2024	1712708507	0	131	131	120
Wed Apr 10 00:21:47 2024	1712708507	0	131	132	120
Wed Apr 10 00:22:02 2024	1712708522	0	132	132	121
Wed Apr 10 00:21:47 2024	1712708507	0	132	132	119
Wed Apr 10 00:21:47 2024	1712708507	0	132	132	121
Wed Apr 10 00:22:02 2024	1712708522	0	132	132	121
Wed Apr 10 00:22:02 2024	1712708522	0	132	132	122
Wed Apr 10 00:21:47 2024	1712708507	2	130	132	118
Wed Apr 10 00:21:47 2024	1712708507	0	132	132	121
