starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:22:05 2024	1712708525	0	16	16	2
Wed Apr 10 00:22:05 2024	1712708525	14	90	104	74
Wed Apr 10 00:22:05 2024	1712708525	14	93	107	80
Wed Apr 10 00:22:05 2024	1712708525	14	95	109	81
Wed Apr 10 00:22:05 2024	1712708525	14	97	111	84
Wed Apr 10 00:22:05 2024	1712708525	14	98	112	85
Wed Apr 10 00:22:05 2024	1712708525	14	99	113	87
Wed Apr 10 00:22:05 2024	1712708525	13	102	114	89
Wed Apr 10 00:22:05 2024	1712708525	14	102	116	91
Wed Apr 10 00:22:05 2024	1712708525	14	102	116	91
Wed Apr 10 00:22:05 2024	1712708525	14	103	117	92
Wed Apr 10 00:22:05 2024	1712708525	14	104	118	91
Wed Apr 10 00:22:05 2024	1712708525	14	107	121	94
Wed Apr 10 00:22:05 2024	1712708525	14	110	124	97
Wed Apr 10 00:22:05 2024	1712708525	14	111	125	101
Wed Apr 10 00:22:05 2024	1712708525	14	111	125	99
Wed Apr 10 00:22:05 2024	1712708525	14	111	125	101
Wed Apr 10 00:22:05 2024	1712708525	14	111	125	101
Wed Apr 10 00:22:05 2024	1712708525	14	115	129	104
Wed Apr 10 00:22:05 2024	1712708525	11	118	129	105
Wed Apr 10 00:22:05 2024	1712708525	14	115	130	104
Wed Apr 10 00:22:05 2024	1712708525	14	115	130	102
Wed Apr 10 00:22:05 2024	1712708525	14	123	137	110
Wed Apr 10 00:22:05 2024	1712708525	14	123	137	108
Wed Apr 10 00:22:05 2024	1712708525	14	124	137	111
Wed Apr 10 00:22:05 2024	1712708525	14	124	137	111
Wed Apr 10 00:22:05 2024	1712708525	14	124	137	113
Wed Apr 10 00:22:05 2024	1712708525	14	125	139	112
Wed Apr 10 00:22:05 2024	1712708525	14	125	139	113
Wed Apr 10 00:22:05 2024	1712708525	12	128	140	117
Wed Apr 10 00:22:05 2024	1712708525	14	127	141	115
Wed Apr 10 00:22:05 2024	1712708525	14	127	141	117
Wed Apr 10 00:22:05 2024	1712708525	14	128	142	117
Wed Apr 10 00:22:05 2024	1712708525	14	133	146	119
Wed Apr 10 00:22:05 2024	1712708525	14	135	148	122
Wed Apr 10 00:22:05 2024	1712708525	14	136	150	124
Wed Apr 10 00:22:05 2024	1712708525	14	138	151	125
Wed Apr 10 00:22:05 2024	1712708525	14	140	153	126
Wed Apr 10 00:22:05 2024	1712708525	14	141	155	128
Wed Apr 10 00:22:05 2024	1712708525	14	143	156	130
Wed Apr 10 00:22:05 2024	1712708525	14	145	158	131
