starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:04:06 2024	1712707446	0	16	16	2
Wed Apr 10 00:04:06 2024	1712707446	2	19	20	1
Wed Apr 10 00:04:06 2024	1712707446	2	20	22	6
Wed Apr 10 00:04:06 2024	1712707446	2	20	22	8
Wed Apr 10 00:04:06 2024	1712707446	2	20	22	8
Wed Apr 10 00:04:06 2024	1712707446	2	20	22	8
Wed Apr 10 00:04:06 2024	1712707446	2	21	23	10
Wed Apr 10 00:04:06 2024	1712707446	2	21	23	8
Wed Apr 10 00:04:06 2024	1712707446	2	22	23	11
Wed Apr 10 00:04:06 2024	1712707446	2	23	25	11
Wed Apr 10 00:04:06 2024	1712707446	2	24	26	11
Wed Apr 10 00:04:06 2024	1712707446	2	26	28	16
Wed Apr 10 00:04:06 2024	1712707446	2	26	28	13
Wed Apr 10 00:04:06 2024	1712707446	2	27	29	15
Wed Apr 10 00:04:06 2024	1712707446	2	29	30	17
Wed Apr 10 00:04:06 2024	1712707446	2	29	31	13
Wed Apr 10 00:04:06 2024	1712707446	2	32	33	19
Wed Apr 10 00:04:06 2024	1712707446	2	34	35	22
Wed Apr 10 00:04:06 2024	1712707446	2	34	36	21
Wed Apr 10 00:04:06 2024	1712707446	2	38	39	24
Wed Apr 10 00:04:06 2024	1712707446	2	39	41	26
Wed Apr 10 00:04:06 2024	1712707446	2	39	41	28
Wed Apr 10 00:04:06 2024	1712707446	2	40	41	24
Wed Apr 10 00:04:06 2024	1712707446	2	43	45	29
Wed Apr 10 00:04:06 2024	1712707446	2	43	45	30
Wed Apr 10 00:04:06 2024	1712707446	2	45	46	31
Wed Apr 10 00:04:06 2024	1712707446	2	45	47	34
Wed Apr 10 00:04:06 2024	1712707446	2	45	47	34
Wed Apr 10 00:04:06 2024	1712707446	2	48	49	35
Wed Apr 10 00:04:06 2024	1712707446	2	50	52	38
Wed Apr 10 00:04:06 2024	1712707446	2	51	52	39
Wed Apr 10 00:04:06 2024	1712707446	2	52	53	41
Wed Apr 10 00:04:06 2024	1712707446	2	52	53	40
Wed Apr 10 00:04:06 2024	1712707446	2	56	57	45
Wed Apr 10 00:04:06 2024	1712707446	2	58	59	45
Wed Apr 10 00:04:06 2024	1712707446	2	58	59	47
Wed Apr 10 00:04:06 2024	1712707446	2	62	63	49
Wed Apr 10 00:04:06 2024	1712707446	2	62	63	48
Wed Apr 10 00:04:06 2024	1712707446	2	62	63	51
Wed Apr 10 00:04:06 2024	1712707446	2	64	66	53
Wed Apr 10 00:04:06 2024	1712707446	1	64	66	53
Wed Apr 10 00:04:06 2024	1712707446	1	67	69	56
Wed Apr 10 00:04:06 2024	1712707446	1	67	69	55
Wed Apr 10 00:04:06 2024	1712707446	2	68	70	56
Wed Apr 10 00:04:06 2024	1712707446	2	69	70	57
Wed Apr 10 00:04:06 2024	1712707446	2	71	73	59
Wed Apr 10 00:04:06 2024	1712707446	2	73	74	60
Wed Apr 10 00:04:06 2024	1712707446	2	73	74	61
Wed Apr 10 00:04:06 2024	1712707446	2	75	77	63
Wed Apr 10 00:04:06 2024	1712707446	2	75	77	64
Wed Apr 10 00:04:06 2024	1712707446	2	76	78	66
Wed Apr 10 00:04:06 2024	1712707446	1	79	81	67
Wed Apr 10 00:04:06 2024	1712707446	1	80	81	68
Wed Apr 10 00:04:06 2024	1712707446	1	81	83	70
Wed Apr 10 00:04:06 2024	1712707446	1	84	85	72
Wed Apr 10 00:04:06 2024	1712707446	1	84	85	71
Wed Apr 10 00:04:06 2024	1712707446	1	86	88	74
Wed Apr 10 00:04:06 2024	1712707446	1	87	88	76
Wed Apr 10 00:04:06 2024	1712707446	1	90	92	79
Wed Apr 10 00:04:06 2024	1712707446	1	91	92	80
Wed Apr 10 00:04:06 2024	1712707446	1	91	92	77
Wed Apr 10 00:04:06 2024	1712707446	1	94	95	81
Wed Apr 10 00:04:06 2024	1712707446	1	95	96	82
Wed Apr 10 00:04:06 2024	1712707446	1	98	99	84
Wed Apr 10 00:04:06 2024	1712707446	1	98	99	86
Wed Apr 10 00:04:06 2024	1712707446	1	99	101	88
Wed Apr 10 00:04:06 2024	1712707446	1	99	101	89
Wed Apr 10 00:04:06 2024	1712707446	1	103	104	92
Wed Apr 10 00:04:06 2024	1712707446	1	103	105	91
Wed Apr 10 00:04:06 2024	1712707446	1	105	106	92
Wed Apr 10 00:04:06 2024	1712707446	1	106	107	93
Wed Apr 10 00:04:06 2024	1712707446	1	106	108	95
Wed Apr 10 00:04:06 2024	1712707446	1	109	110	98
Wed Apr 10 00:04:06 2024	1712707446	1	109	110	96
Wed Apr 10 00:04:06 2024	1712707446	1	110	112	99
Wed Apr 10 00:04:06 2024	1712707446	1	113	115	100
Wed Apr 10 00:04:06 2024	1712707446	1	114	116	102
Wed Apr 10 00:04:06 2024	1712707446	1	115	116	103
Wed Apr 10 00:04:06 2024	1712707446	1	116	117	104
Wed Apr 10 00:04:06 2024	1712707446	1	117	119	106
Wed Apr 10 00:04:06 2024	1712707446	1	119	120	107
Wed Apr 10 00:04:06 2024	1712707446	1	120	121	109
Wed Apr 10 00:04:06 2024	1712707446	1	123	124	111
Wed Apr 10 00:04:06 2024	1712707446	1	124	125	112
Wed Apr 10 00:04:06 2024	1712707446	1	127	128	113
Wed Apr 10 00:04:06 2024	1712707446	1	128	130	114
Wed Apr 10 00:04:06 2024	1712707446	1	129	130	118
Wed Apr 10 00:04:06 2024	1712707446	1	129	130	116
Wed Apr 10 00:04:06 2024	1712707446	1	130	132	119
Wed Apr 10 00:04:06 2024	1712707446	1	130	132	120
Wed Apr 10 00:04:06 2024	1712707446	1	133	134	121
Wed Apr 10 00:04:06 2024	1712707446	1	134	135	123
Wed Apr 10 00:04:06 2024	1712707446	1	135	136	124
Wed Apr 10 00:04:06 2024	1712707446	1	139	140	127
Wed Apr 10 00:04:06 2024	1712707446	1	139	141	128
Wed Apr 10 00:04:06 2024	1712707446	1	140	141	127
Wed Apr 10 00:04:06 2024	1712707446	1	141	142	130
Wed Apr 10 00:04:06 2024	1712707446	1	143	144	132
Wed Apr 10 00:04:06 2024	1712707446	1	145	146	134
Wed Apr 10 00:04:06 2024	1712707446	1	145	147	133
Wed Apr 10 00:04:06 2024	1712707446	1	149	150	136
Wed Apr 10 00:04:06 2024	1712707446	1	149	151	138
Wed Apr 10 00:04:06 2024	1712707446	1	150	151	139
Wed Apr 10 00:04:06 2024	1712707446	1	152	153	140
Wed Apr 10 00:04:06 2024	1712707446	1	153	154	141
Wed Apr 10 00:04:06 2024	1712707446	1	156	157	142
Wed Apr 10 00:04:06 2024	1712707446	1	157	159	147
Wed Apr 10 00:04:06 2024	1712707446	1	158	159	145
Wed Apr 10 00:04:06 2024	1712707446	1	160	161	147
Wed Apr 10 00:04:06 2024	1712707446	1	160	162	148
Wed Apr 10 00:04:06 2024	1712707446	1	163	164	149
Wed Apr 10 00:04:06 2024	1712707446	1	163	164	152
Wed Apr 10 00:04:06 2024	1712707446	1	165	166	153
Wed Apr 10 00:04:06 2024	1712707446	1	166	167	153
Wed Apr 10 00:04:06 2024	1712707446	1	167	168	155
Wed Apr 10 00:04:06 2024	1712707446	1	170	171	157
Wed Apr 10 00:04:06 2024	1712707446	1	170	171	156
Wed Apr 10 00:04:06 2024	1712707446	1	174	175	159
Wed Apr 10 00:04:06 2024	1712707446	1	174	175	161
Wed Apr 10 00:04:06 2024	1712707446	1	176	177	164
Wed Apr 10 00:04:06 2024	1712707446	1	176	177	163
Wed Apr 10 00:04:06 2024	1712707446	1	179	180	165
Wed Apr 10 00:04:06 2024	1712707446	1	180	181	168
Wed Apr 10 00:04:06 2024	1712707446	1	181	182	169
Wed Apr 10 00:04:06 2024	1712707446	1	181	182	167
Wed Apr 10 00:04:06 2024	1712707446	0	182	182	169
Wed Apr 10 00:04:06 2024	1712707446	0	182	182	169
Wed Apr 10 00:04:06 2024	1712707446	0	182	182	172
Wed Apr 10 00:04:06 2024	1712707446	1	182	183	171
Wed Apr 10 00:04:06 2024	1712707446	1	182	183	170
Wed Apr 10 00:04:06 2024	1712707446	0	185	185	173
Wed Apr 10 00:04:06 2024	1712707446	1	185	186	174
Wed Apr 10 00:04:06 2024	1712707446	1	185	186	172
Wed Apr 10 00:04:06 2024	1712707446	0	186	186	172
