starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:03:48 2024	1712707428	1	139	141	128
Wed Apr 10 00:03:48 2024	1712707428	1	140	141	129
Wed Apr 10 00:03:48 2024	1712707428	1	145	146	132
Wed Apr 10 00:03:48 2024	1712707428	1	145	146	131
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	133
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	135
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	136
Wed Apr 10 00:03:48 2024	1712707428	1	157	158	139
Wed Apr 10 00:03:48 2024	1712707428	1	157	158	141
Wed Apr 10 00:03:48 2024	1712707428	1	160	161	137
Wed Apr 10 00:03:48 2024	1712707428	1	163	164	144
Wed Apr 10 00:03:48 2024	1712707428	1	171	172	154
Wed Apr 10 00:03:48 2024	1712707428	1	174	175	161
Wed Apr 10 00:03:48 2024	1712707428	1	174	175	160
Wed Apr 10 00:03:48 2024	1712707428	1	175	175	160
Wed Apr 10 00:03:58 2024	1712707438	0	179	179	167
Wed Apr 10 00:03:51 2024	1712707431	0	180	180	168
Wed Apr 10 00:03:52 2024	1712707432	0	180	180	168
Wed Apr 10 00:03:51 2024	1712707431	0	180	180	168
Wed Apr 10 00:03:52 2024	1712707432	0	180	180	170
Wed Apr 10 00:03:51 2024	1712707431	0	181	181	168
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	170
Wed Apr 10 00:03:48 2024	1712707428	1	180	181	163
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	170
Wed Apr 10 00:03:51 2024	1712707431	0	181	181	169
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	169
Wed Apr 10 00:03:58 2024	1712707438	0	181	181	170
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	170
Wed Apr 10 00:03:50 2024	1712707430	0	181	181	171
Wed Apr 10 00:03:51 2024	1712707431	0	181	181	169
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	170
Wed Apr 10 00:03:51 2024	1712707431	0	181	181	170
Wed Apr 10 00:03:58 2024	1712707438	0	181	181	170
Wed Apr 10 00:03:52 2024	1712707432	0	181	181	169
Wed Apr 10 00:03:58 2024	1712707438	0	181	181	169
Wed Apr 10 00:03:52 2024	1712707432	0	182	182	170
Wed Apr 10 00:03:58 2024	1712707438	0	182	182	170
Wed Apr 10 00:03:52 2024	1712707432	0	182	182	171
Wed Apr 10 00:03:48 2024	1712707428	1	181	182	168
Wed Apr 10 00:03:54 2024	1712707434	0	182	182	171
Wed Apr 10 00:03:54 2024	1712707434	0	182	182	172
Wed Apr 10 00:03:54 2024	1712707434	0	182	182	170
Wed Apr 10 00:03:53 2024	1712707433	0	182	182	171
Wed Apr 10 00:03:52 2024	1712707432	0	182	182	171
Wed Apr 10 00:03:50 2024	1712707430	0	182	182	171
Wed Apr 10 00:03:53 2024	1712707433	0	182	182	171
Wed Apr 10 00:03:48 2024	1712707428	0	182	182	171
Wed Apr 10 00:03:50 2024	1712707430	0	182	182	170
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	170
Wed Apr 10 00:04:02 2024	1712707442	0	182	182	170
Wed Apr 10 00:03:50 2024	1712707430	0	182	182	170
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	170
Wed Apr 10 00:03:52 2024	1712707432	0	182	182	171
Wed Apr 10 00:03:48 2024	1712707428	0	182	182	171
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	171
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	170
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	171
Wed Apr 10 00:03:54 2024	1712707434	0	182	182	171
Wed Apr 10 00:03:52 2024	1712707432	0	182	182	170
Wed Apr 10 00:03:51 2024	1712707431	0	182	182	169
Wed Apr 10 00:03:50 2024	1712707430	0	182	182	171
Wed Apr 10 00:03:50 2024	1712707430	0	182	182	170
Wed Apr 10 00:03:51 2024	1712707431	0	182	183	170
Wed Apr 10 00:03:52 2024	1712707432	0	182	183	170
Wed Apr 10 00:03:52 2024	1712707432	0	183	183	171
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	171
Wed Apr 10 00:03:58 2024	1712707438	0	183	183	172
Wed Apr 10 00:03:54 2024	1712707434	0	183	183	170
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	172
Wed Apr 10 00:03:52 2024	1712707432	0	183	183	172
Wed Apr 10 00:03:57 2024	1712707437	0	183	183	171
Wed Apr 10 00:03:56 2024	1712707436	0	183	183	172
Wed Apr 10 00:03:57 2024	1712707437	0	183	183	173
Wed Apr 10 00:03:52 2024	1712707432	0	183	183	170
